CodigoEstacion,COD_MPIO,NombreEstacion,Departamento,Municipio,Latitud,Longitud,fecha_corte,precip_acumulada_anual_mm
35085040,nan,,,,,,2026-08-27,512.3
35085060,15897.0,ZETAQUIRA,BOYACÁ,ZETAQUIRÁ,5.294944444,-73.16994444,2026-09-16,291.8
35085070,15690.0,SANTA MARIA,BOYACÁ,SANTA MARÍA,4.84125,-73.25669444,2026-09-16,838.4
35085080,15380.0,LA CAPILLA,BOYACÁ,LA CAPILLA,5.099194444,-73.436,2026-09-16,234.4
35087020,15514.0,PAEZ,BOYACÁ,CAMPOHERMOSO,5.08261111,-73.06841667,2026-09-16,2701.6000000000004
35090060,nan,,,,,,2026-09-16,1304.0
35090070,nan,,,,,,2026-05-05,302.8
35095110,85440.0,HUERTA LA GRANDE,CASANARE,VILLANUEVA,4.65144,-72.915458,2026-09-16,801.1
35095120,15226.0,AQUITANIA,BOYACÁ,AQUITANIA,5.55663,-72.88175,2026-09-16,221.10000000000002
35095130,15244.0,LAGUNA DE LA PLAZA,ARAUCA,SARAVENA,6.362,-72.282,2026-09-16,1869.6000000000001
35107030,nan,,,,,,2026-09-16,1413.3
35125010,nan,,,,,,2026-09-16,1630.0
35160000,15759.0,LAS CINTAS,BOYACÁ,SOGAMOSO,5.614277778,-72.86747222,2026-04-02,906.7
35160010,15822.0,POTRERITO,BOYACÁ,AQUITANIA,5.477583333,-72.94861111,2026-09-16,405.0
35160020,15226.0,LLANO ALARCON,BOYACÁ,CUÍTIVA,5.59972222,-72.91347222,2026-09-16,366.316
35167000,15226.0,CORPOBOYACA - SANTA INES -AUT,BOYACÁ,AQUITANIA,5.545,-72.88411111,2026-09-16,575.4
35167010,15226.0,HATO LAGUNA,BOYACÁ,AQUITANIA,5.58444444,-72.90008333,2026-04-03,3634.1
35185010,50573.0,LA PALOMERA,META,PUERTO LÓPEZ,4.260321,-72.564525,2026-09-16,154.0
35190070,85010.0,SAN JOSE,CASANARE,AGUAZUL,5.091916667,-72.45858333,2026-09-12,944.4
35195020,15514.0,TAURAMENA,CASANARE,TAURAMENA,5.027,-72.87,2025-11-18,1485.993
35195050,15518.0,CORINTO,BOYACÁ,PAJARITO,5.407,-72.717,2026-09-16,1521.9
35195060,15047.0,PERENCO: TOQUILLA,BOYACÁ,AQUITANIA,5.524,-72.791,2026-09-16,1024.28
35197020,15047.0,VADO HONDO,BOYACÁ,AQUITANIA,5.506805556,-72.75480556,2026-09-16,60.7
35197030,85010.0,LOS ESTEROS,CASANARE,AGUAZUL,5.179694444,-72.568388889,2026-09-10,117.4
35197070,15759.0,PUENTE LAS CANAS,BOYACÁ,AQUITANIA,5.58669444,-72.81533333,2026-09-16,776.0
35210060,nan,,,,,,2026-07-24,1646.1
35215020,85001.0,AEROPUERTO YOPAL,CASANARE,YOPAL,5.32044444,-72.3875,2026-09-16,1391.6999999999998
35215030,15550.0,PERENCO: PISBA,BOYACÁ,PISVA,5.721,-72.488,2026-09-16,4253.0
35217010,85001.0,PUENTE YOPAL,CASANARE,YOPAL,5.369,-72.41372222,2026-04-23,187.35999999999999
35217030,15377.0,PUENTE LA CABANA,CASANARE,YOPAL,5.43794444,-72.45522222,2026-04-22,1006.0999999999999
35217060,85225.0,PERENCO: EL PLAYON,CASANARE,NUNCHÍA,5.54,-72.232,2026-09-16,3398.6000000000004
35217090,15377.0,LABRANZA GRANDE,BOYACÁ,LABRANZAGRANDE,5.566916667,-72.58355556,2026-09-16,1575.7
35225030,85230.0,MODULOS,CASANARE,OROCUÉ,4.91047222,-71.43305556,2026-09-16,2169.3999999999996
35227090,nan,,,,,,2026-09-10,1380.7
35235010,15755.0,CARDON EL,BOYACÁ,SOCOTÁ,6.011666667,-72.52927778,2026-09-16,3834.2000000000003
35235040,85325.0,PERENCO - TRINIDAD METEO,CASANARE,TRINIDAD,5.419,-71.666,2026-09-16,0.0
35235050,85400.0,PERENCO: TAMARA,CASANARE,TÁMARA,5.819,-72.167,2026-09-16,4962.7
35237030,85325.0,PERENCO: TRINIDAD PAUTO - PUENTE NONATO,CASANARE,TRINIDAD,5.414,-71.668,2026-09-16,5659.2
35250040,nan,,,,,,2026-09-16,64.10000000000001
36015020,85125.0,EL DIAMANTE,CASANARE,PAZ DE ARIPORO,5.816194444,-71.41983333,2026-09-16,3056.2
36017010,85263.0,PAZ DE ARIPORO,CASANARE,HATO COROZAL,5.906555556,-71.90238889,2026-09-16,6842.099999999999
37015030,68820.0,BERLIN,SANTANDER,TONA,7.187,-72.8685,2026-09-16,711.5
37017040,54125.0,PUENTE LOPEZ,NORTE DE SANTANDER,CHITAGÁ,7.203333333,-72.63388889,2026-04-02,576.6
37027010,54377.0,PEÑA DE LOS MICOS,NORTE DE SANTANDER,TOLEDO,7.196972222,-72.42477778,2025-09-24,3.2
37045010,81736.0,SARAVENA,ARAUCA,SARAVENA,6.946388889,-71.89055556,2026-09-16,5065.8
37057020,81065.0,ALCARAVAN  AUT,ARAUCA,ARAUQUITA,7.035,-71.41638889,2026-08-23,0.0
38015030,nan,,,,,,2026-09-16,1796.2
42077020,97001.0,MITU,VAUPES,MITÚ,1.259806,-70.239167,2026-09-16,2502.6
44015060,86001.0,ACUEDUCTO MOCOA,PUTUMAYO,MOCOA,1.15733333,-76.65183333,2026-09-16,3975.9
44015070,86001.0,EL PEPINO,PUTUMAYO,MOCOA,1.082888889,-76.66711111,2026-07-04,1295.3999999999999
44017070,19701.0,SANTA ROSA,CAUCA,SANTA ROSA,1.705,-76.56222222,2026-04-03,142.20000000000002
44017110,19533.0,ANDAQUI,PUTUMAYO,MOCOA,1.050916667,-76.54888889,2026-09-16,3929.2
44017120,86001.0,PIEDRA LISA II,PUTUMAYO,MOCOA,1.213611111,-76.66102778,2026-07-04,2537.2
44035030,18479.0,MACAGUAL,CAQUETA,FLORENCIA,1.5,-75.66,2025-11-26,0.1
44035040,18001.0,FLORENCIA,CAQUETA,FLORENCIA,1.733,-75.64502778,2026-09-16,1621.0
44035050,18479.0,MACAGUAL,CAQUETA,FLORENCIA,1.5,-75.66,2026-04-02,260.6
44037040,18001.0,EL ROSARIO,CAQUETA,FLORENCIA,1.72525,-75.66638889,2026-04-02,704.0
44037050,18001.0,VENECIA,CAQUETA,FLORENCIA,1.563111111,-75.52930556,2026-06-08,3195.2999999999997
44037080,18479.0,MORELIA,CAQUETA,MORELIA,1.497333333,-75.72497222,2026-05-10,326.0
44045030,18029.0,MONO LA,CAQUETA,BELÉN DE LOS ANDAQUÍES,1.303361111,-75.807722222,2026-09-16,1480.9
44055010,18460.0,TRES ESQUINAS,CAQUETA,SOLANO,0.7375,-75.236111111,2026-09-16,2996.5
46015030,18592.0,SAN VICENTE DEL CAGUAN,CAQUETA,SAN VICENTE DEL CAGUÁN,2.063,-74.76269444,2026-04-02,455.8
46035010,18247.0,MAGUARE,CAQUETA,EL DONCELLO,1.640222222,-75.16266667,2026-04-02,183.0
47017070,86760.0,EL EDEN,PUTUMAYO,SANTIAGO,1.106305556,-76.985,2026-09-16,2305.0
47017110,52573.0,MONOPAMBA,NARIÑO,PUERRES,0.807777778,-77.30694444,2026-09-16,1266.3999999999999
47017170,86865.0,PICUDO EL,PUTUMAYO,ORITO,0.489222222,-76.835972222,2026-09-16,2408.5
47075010,nan,,,,,,2026-06-26,0.0
48015040,91540.0,PTO NARIÑO,AMAZONAS,PUERTO NARIÑO,-3.78,-70.363,2026-09-16,1369.1
48015050,91001.0,AEROPUERTO VASQUEZ COBO,AMAZONAS,LETICIA,-4.199509,-69.943095,2026-09-16,5033.0
51020011,52435.0,PIEDRANCHA,NARINO,MALLAMA (PIEDRANCHA),1.142,-77.929,2026-09-16,1787.8000000000002
51025080,52612.0,ALTAQUER,NARIÑO,BARBACOAS,1.24833333,-78.0925,2026-09-16,978.2
51025090,52835.0,GRANJA EL MIRA -,NARIÑO,TUMACO,1.55019444,-78.69558333,2026-09-16,1601.8
51027060,52835.0,SAN JUAN MIRA,NARIÑO,TUMACO,1.423888889,-78.67027778,2026-09-16,3436.4
51035020,52835.0,CCCP DL PACIFICO,NARIÑO,TUMACO,1.819166667,-78.73,2026-07-04,1580.4
51039010,52835.0,TUMACO,NARIÑO,TUMACO,1.819305556,-78.73027778,2026-07-04,1715.6
52010020,19075.0,BALBOA,CAUCA,BALBOA,2.032805556,-77.22169444,2026-09-16,1541.2
52017030,19532.0,LA FONDA,CAUCA,PATÍA,2.147777778,-77.04666667,2026-07-10,1138.6
52020070,19693.0,SANTIAGO,CAUCA,SAN SEBASTIÁN,1.814166667,-76.78288889,2026-04-02,742.2
52025080,19075.0,ESTRECHO PATIA,CAUCA,PATÍA,1.96,-77.12,2026-08-20,774.8000000000001
52025090,19392.0,LA SIERRA,CAUCA,LA SIERRA,2.193833333,-76.75033333,2026-07-21,1585.2
52035040,52786.0,VIENTO LIBRE,NARIÑO,TAMINANGO,1.62,-77.34,2026-07-04,684.4
52040050,52258.0,APONTE,NARIÑO,EL TABLÓN,1.397,-77.031,2026-09-16,901.0
52045080,52480.0,UNIVERSIDAD DE NARINO,NARIÑO,PASTO,1.23,-77.28,2026-09-16,655.3
