COD_DPTO,NOM_DPTO,cod_divipola,NOM_MPIO,LATITUD,LONGITUD,amenaza_mm_val,amenaza_mm
13,BOLÍVAR,13810,TIQUISIO,8.492345176,-74.29676139,25,MEDIA
13,BOLÍVAR,13836,TURBACO,10.35310756,-75.37971541,10,MUY_BAJA
13,BOLÍVAR,13838,TURBANÁ,10.25276929,-75.43270299,10,MUY_BAJA
13,BOLÍVAR,13873,VILLANUEVA,10.4449132,-75.26736275,14,BAJA
13,BOLÍVAR,13894,ZAMBRANO,9.745147021,-74.88067037,7,MUY_BAJA
15,BOYACÁ,15001,TUNJA,5.518472615,-73.37801856,25,MEDIA
15,BOYACÁ,15022,ALMEIDA,4.954825081,-73.38813425,55,MUY_ALTA
15,BOYACÁ,15047,AQUITANIA,5.437416373,-72.87149471,54,MUY_ALTA
15,BOYACÁ,15051,ARCABUCO,5.73526424,-73.42793109,59,MUY_ALTA
15,BOYACÁ,15087,BELÉN,6.005059265,-72.89369887,42,ALTA
15,BOYACÁ,15090,BERBEO,5.230936356,-73.12731944,54,MUY_ALTA
15,BOYACÁ,15092,BETÉITIVA,5.920858933,-72.84857876,43,ALTA
15,BOYACÁ,15097,BOAVITA,6.337515626,-72.62021239,48,MUY_ALTA
15,BOYACÁ,15104,BOYACÁ,5.439856216,-73.38136994,25,MEDIA
15,BOYACÁ,15106,BRICEÑO,5.673229265,-73.92660705,52,MUY_ALTA
15,BOYACÁ,15109,BUENAVISTA,5.489399419,-73.95066255,48,MUY_ALTA
15,BOYACÁ,15114,BUSBANZÁ,5.843483731,-72.87574623,51,MUY_ALTA
15,BOYACÁ,15131,CALDAS,5.575990669,-73.88057508,34,ALTA
15,BOYACÁ,15135,CAMPOHERMOSO,5.006862536,-73.1446703,57,MUY_ALTA
15,BOYACÁ,15162,CERINZA,5.962013698,-72.96447288,34,ALTA
15,BOYACÁ,15172,CHINAVITA,5.202971639,-73.34048074,48,MUY_ALTA
15,BOYACÁ,15176,CHIQUINQUIRÁ,5.622488024,-73.80424531,34,ALTA
15,BOYACÁ,15180,CHISCAS,6.68911806,-72.41795675,37,ALTA
15,BOYACÁ,15183,CHITA,6.091468485,-72.43903174,43,ALTA
15,BOYACÁ,15185,CHITARAQUE,5.984394625,-73.42582375,52,MUY_ALTA
15,BOYACÁ,15187,CHIVATÁ,5.556830465,-73.26061715,27,MEDIA
15,BOYACÁ,15189,CIÉNEGA,5.393059633,-73.28205772,34,ALTA
15,BOYACÁ,15204,CÓMBITA,5.667822366,-73.32137049,15,BAJA
15,BOYACÁ,15212,COPER,5.452461072,-74.05996578,52,MUY_ALTA
15,BOYACÁ,15215,CORRALES,5.82454582,-72.84544845,53,MUY_ALTA
15,BOYACÁ,15218,COVARACHÍA,6.519521476,-72.74020421,35,ALTA
15,BOYACÁ,15223,CUBARÁ,6.886954878,-72.18156285,52,MUY_ALTA
15,BOYACÁ,15224,CUCAITA,5.527104109,-73.44598646,25,MEDIA
15,BOYACÁ,15226,CUÍTIVA,5.58775449,-72.93953686,51,MUY_ALTA
15,BOYACÁ,15232,CHÍQUIZA,5.643075648,-73.44562391,15,BAJA
15,BOYACÁ,15236,CHIVOR,4.871181606,-73.36142379,57,MUY_ALTA
15,BOYACÁ,15238,DUITAMA,5.890602515,-73.06709484,37,ALTA
15,BOYACÁ,15244,EL COCUY,6.353363177,-72.41923752,48,MUY_ALTA
15,BOYACÁ,15248,EL ESPINO,6.508240556,-72.48049625,48,MUY_ALTA
15,BOYACÁ,15272,FIRAVITOBA,5.67367659,-73.01983352,42,ALTA
15,BOYACÁ,15276,FLORESTA,5.85899211,-72.92499827,42,ALTA
15,BOYACÁ,15293,GACHANTIVÁ,5.744105975,-73.5426552,35,ALTA
15,BOYACÁ,15296,GÁMEZA,5.799050256,-72.72964765,53,MUY_ALTA
15,BOYACÁ,15299,GARAGOA,5.089466651,-73.31430272,54,MUY_ALTA
15,BOYACÁ,15317,GUACAMAYAS,6.445438546,-72.51635332,48,MUY_ALTA
15,BOYACÁ,15322,GUATEQUE,5.01450831,-73.48812352,43,ALTA
15,BOYACÁ,15325,GUAYATÁ,4.931424341,-73.49663372,54,MUY_ALTA
15,BOYACÁ,15332,GÜICÁN DE LA SIERRA,6.566991765,-72.25599334,48,MUY_ALTA
15,BOYACÁ,15362,IZA,5.617366016,-72.96986504,42,ALTA
15,BOYACÁ,15367,JENESANO,5.38916272,-73.40087021,34,ALTA
15,BOYACÁ,15368,JERICÓ,6.155633662,-72.58523093,43,ALTA
15,BOYACÁ,15377,LABRANZAGRANDE,5.541378132,-72.5903846,54,MUY_ALTA
15,BOYACÁ,15380,LA CAPILLA,5.113167102,-73.45923708,42,ALTA
15,BOYACÁ,15401,LA VICTORIA,5.507008121,-74.24162727,56,MUY_ALTA
15,BOYACÁ,15403,LA UVITA,6.265126191,-72.55551085,48,MUY_ALTA
15,BOYACÁ,15407,VILLA DE LEYVA,5.665762424,-73.514948,15,BAJA
15,BOYACÁ,15425,MACANAL,4.980176495,-73.29413695,55,MUY_ALTA
15,BOYACÁ,15442,MARIPÍ,5.569810633,-74.02003127,48,MUY_ALTA
15,BOYACÁ,15455,MIRAFLORES,5.150953297,-73.17896722,54,MUY_ALTA
15,BOYACÁ,15464,MONGUA,5.710937981,-72.63402875,53,MUY_ALTA
15,BOYACÁ,15466,MONGUÍ,5.697352228,-72.83298664,48,MUY_ALTA
15,BOYACÁ,15469,MONIQUIRÁ,5.863370485,-73.55852538,52,MUY_ALTA
15,BOYACÁ,15476,MOTAVITA,5.606192449,-73.37734267,25,MEDIA
15,BOYACÁ,15480,MUZO,5.539429272,-74.11177139,48,MUY_ALTA
15,BOYACÁ,15491,NOBSA,5.778759851,-72.93268324,43,ALTA
15,BOYACÁ,15494,NUEVO COLÓN,5.354701485,-73.44873424,34,ALTA
15,BOYACÁ,15500,OICATÁ,5.610787844,-73.27991905,25,MEDIA
15,BOYACÁ,15507,OTANCHE,5.753787787,-74.19719423,54,MUY_ALTA
15,BOYACÁ,15511,PACHAVITA,5.148323877,-73.39951219,48,MUY_ALTA
15,BOYACÁ,15514,PÁEZ,5.095211035,-73.00435863,54,MUY_ALTA
15,BOYACÁ,15516,PAIPA,5.762027786,-73.13777442,25,MEDIA
15,BOYACÁ,15518,PAJARITO,5.382328949,-72.69672674,57,MUY_ALTA
15,BOYACÁ,15522,PANQUEBA,6.443299758,-72.46182431,48,MUY_ALTA
15,BOYACÁ,15531,PAUNA,5.688801559,-74.00504122,52,MUY_ALTA
15,BOYACÁ,15533,PAYA,5.621242742,-72.3692906,57,MUY_ALTA
15,BOYACÁ,15537,PAZ DE RÍO,6.030008561,-72.75988018,48,MUY_ALTA
15,BOYACÁ,15542,PESCA,5.498483324,-73.07837993,43,ALTA
15,BOYACÁ,15550,PISBA,5.768131812,-72.43993232,54,MUY_ALTA
15,BOYACÁ,15572,PUERTO BOYACÁ,5.953466654,-74.4528581,29,MEDIA
15,BOYACÁ,15580,QUÍPAMA,5.595729831,-74.26857067,54,MUY_ALTA
15,BOYACÁ,15599,RAMIRIQUÍ,5.319934092,-73.310779,48,MUY_ALTA
15,BOYACÁ,15600,RÁQUIRA,5.496268621,-73.62894438,15,BAJA
15,BOYACÁ,15621,RONDÓN,5.379947879,-73.19650995,43,ALTA
15,BOYACÁ,15632,SABOYÁ,5.699926051,-73.74799466,34,ALTA
15,BOYACÁ,15638,SÁCHICA,5.573464882,-73.543102,11,BAJA
15,BOYACÁ,15646,SAMACÁ,5.47053997,-73.5211756,25,MEDIA
15,BOYACÁ,15660,SAN EDUARDO,5.234614686,-73.04914067,54,MUY_ALTA
15,BOYACÁ,15664,SAN JOSÉ DE PARE,5.994154088,-73.54386522,52,MUY_ALTA
15,BOYACÁ,15667,SAN LUIS DE GACENO,4.798203543,-73.13397018,48,MUY_ALTA
15,BOYACÁ,15673,SAN MATEO,6.395388812,-72.55184862,48,MUY_ALTA
15,BOYACÁ,15676,SAN MIGUEL DE SEMA,5.532326922,-73.74715898,15,BAJA
15,BOYACÁ,15681,SAN PABLO DE BORBUR,5.677345066,-74.11403749,48,MUY_ALTA
15,BOYACÁ,15686,SANTANA,6.057614971,-73.48974828,52,MUY_ALTA
15,BOYACÁ,15690,SANTA MARÍA,4.823002556,-73.25377506,54,MUY_ALTA
15,BOYACÁ,15693,SANTA ROSA DE VITERBO,5.892950301,-72.9917278,42,ALTA
15,BOYACÁ,15696,SANTA SOFÍA,5.731602716,-73.60366287,13,BAJA
15,BOYACÁ,15720,SATIVANORTE,6.13211793,-72.73032415,34,ALTA
15,BOYACÁ,15723,SATIVASUR,6.083405978,-72.72410815,42,ALTA
15,BOYACÁ,15740,SIACHOQUE,5.498747701,-73.21681778,42,ALTA
15,BOYACÁ,15753,SOATÁ,6.323088045,-72.69604089,42,ALTA
15,BOYACÁ,15755,SOCOTÁ,5.906513772,-72.53646361,43,ALTA
15,BOYACÁ,15757,SOCHA,5.960498836,-72.68239784,48,MUY_ALTA
15,BOYACÁ,15759,SOGAMOSO,5.646672053,-72.8709565,48,MUY_ALTA
15,BOYACÁ,15761,SOMONDOCO,4.970974064,-73.42878785,54,MUY_ALTA
15,BOYACÁ,15762,SORA,5.580573191,-73.44371838,15,BAJA
15,BOYACÁ,15763,SOTAQUIRÁ,5.763010553,-73.24352232,15,BAJA
15,BOYACÁ,15764,SORACÁ,5.494890461,-73.31899997,25,MEDIA
15,BOYACÁ,15774,SUSACÓN,6.215200578,-72.71575634,35,ALTA
15,BOYACÁ,15776,SUTAMARCHÁN,5.640030759,-73.62598773,14,BAJA
15,BOYACÁ,15778,SUTATENZA,5.030711335,-73.41224401,43,ALTA
15,BOYACÁ,15790,TASCO,5.882294313,-72.72626817,48,MUY_ALTA
15,BOYACÁ,15798,TENZA,5.071413139,-73.42479699,43,ALTA
15,BOYACÁ,15804,TIBANÁ,5.301116649,-73.3932521,48,MUY_ALTA
