COD_DPTO,NOM_DPTO,COD_MPIO,NOM_MPIO,frecuencia_extremos,frecuencia_reciente,ratio_reciente,tendencia,alerta_lluvias,ratio_anio_corrido,ratio_ultimos_6m,condicion_lluvia_6m,ratio_volumen_3m,condicion_lluvia_3m,sequia_categoria,freq_sequia_hist,freq_sequia_rec_3m,racha_activa_dias,tendencia_sequia,n_estaciones,distancia_km_estacion_asignada,sequia_nivel,municipio_afectado
5,ANTIOQUIA,5361,ITUANGO,0.06741573033707865,0.09302330733782346,1.3798457255110481,estable,MODERADA,1.251004016064257,0.5114942528735632,DEFICIT,,sin_datos,LEVE,0.07575757575757576,0.0,0.0,estable,1,20.795142508875546,1,1
5,ANTIOQUIA,5364,JARDÍN,0.054455445544554455,,,sin_datos,BAJA,,,sin_datos,,sin_datos,MODERADA,0.10416666666666667,0.0,2.0,sin_datos,1,4.475348212236823,2,1
5,ANTIOQUIA,5368,JERICÓ,0.04951856946354883,,,sin_datos,BAJA,,,sin_datos,,sin_datos,MODERADA,0.11428571428571428,0.0,14.0,sin_datos,1,4.2424384969868205,2,1
5,ANTIOQUIA,5376,LA CEJA,0.039240506329113925,0.2038200489275758,5.194123827509189,estable,MODERADA,8.904003109211038,0.9801488833746899,NORMAL,,sin_datos,MODERADA,0.10256410256410256,0.0,0.0,estable,1,11.489846299125569,2,1
5,ANTIOQUIA,5380,LA ESTRELLA,0.06857142857142857,0.09188975174259659,1.3400588795795334,estable,ALTA,1.3008607198748043,1.3087606837606838,EXCESO,1.1936915612954244,EXCESO,MODERADA,0.08571428571428572,0.16666666666666666,0.0,estable,1,10.231656048550406,2,1
5,ANTIOQUIA,5390,LA PINTADA,0.05481874447391689,0.03835227272727273,0.6996196847507331,estable,ALTA,0.3761223811107416,0.9120967741935484,NORMAL,2.616083916083916,EXCESO,ALTA,0.102803738317757,0.0,0.0,insuficiente,1,6.176625709217996,3,1
5,ANTIOQUIA,5400,LA UNIÓN,0.0759493670886076,0.06344086021505377,0.8353046594982079,estable,BAJA,0.8654147104851331,1.1816239316239316,EXCESO,,sin_datos,MODERADA,0.07547169811320754,0.21428571428571427,0.0,estable,1,7.167072678055776,2,0
5,ANTIOQUIA,5411,LIBORINA,0.06353591160220995,0.06543467521218478,1.0298848881222127,estable,BAJA,1.4778526229842823,0.30267558528428096,DEFICIT,0.742197183224452,DEFICIT,NORMAL,0.09183673469387756,0.0,1.0,estable,1,9.96425520011713,0,1
5,ANTIOQUIA,5425,MACEO,0.05378973105134474,0.07598982982202189,27.280348906105857,creciente,ALTA,70.78873239436619,89.75,EXCESO,24.837111314431674,EXCESO,NORMAL,0.09319899244332494,0.0,0.0,estable,2,9.813444845351158,0,0
5,ANTIOQUIA,5440,MARINILLA,0.06818181818181818,,,sin_datos,BAJA,,,sin_datos,,sin_datos,ALTA,0.1111111111111111,0.0,44.0,sin_datos,1,3.905724933949063,3,0
5,ANTIOQUIA,5467,MONTEBELLO,0.08659217877094973,0.1132077397219257,2.7636007049764215,estable,ALTA,2.177575255454294,2.1907993966817494,EXCESO,2.482950272321357,EXCESO,MODERADA,0.09195402298850575,0.125,0.0,estable,2,7.518628150894581,2,1
5,ANTIOQUIA,5475,MURINDÓ,0.05603448275862069,0.0,0.0,estable,BAJA,0.0,0.0,DEFICIT,0.04544525394271366,DEFICIT,ALTA,0.1111111111111111,0.2,1.0,decreciente,1,35.682770986658944,3,1
5,ANTIOQUIA,5480,MUTATÁ,0.06989247311827956,0.053968686688484285,0.7721673633890829,estable,BAJA,0.4030335861321777,0.5502958579881657,DEFICIT,0.8543659679130196,NORMAL,NORMAL,0.08333333333333333,0.06666666666666667,0.0,estable,1,10.492361684802349,0,1
5,ANTIOQUIA,5483,NARIÑO,0.2777777777777778,0.26903851725815575,0.9685386621293607,estable,CRÍTICA,1.0140845070422535,1.0384615384615383,NORMAL,5.599299073263566,EXCESO,MODERADA,0.0936936936936937,0.1111111111111111,0.0,estable,1,17.52575026330752,2,1
5,ANTIOQUIA,5490,NECOCLÍ,0.06188925081433225,,,sin_datos,BAJA,,,sin_datos,,sin_datos,NORMAL,0.0967741935483871,0.0,8.0,sin_datos,1,36.19954502020714,0,1
5,ANTIOQUIA,5495,NECHÍ,0.09040178571428571,0.07134385222620516,0.7891863159837016,creciente,ALTA,2.0773198863965687,1.9145299145299146,EXCESO,1.4137455022597951,EXCESO,ALTA,0.10377358490566038,0.3,12.0,creciente,1,14.974866944475329,3,1
